GenBank Account #, Molecule Type, Molecule Length, Tax ID, Organism Name, Taxonomy
,,,,,
CP001878.2, Chromosome, 3858997, 398511, Bacillus pseudofirmus OF4 (firmicutes), Bacillus pseudofirmus; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP001879.1, Plasmid, 285222, 398511, Bacillus pseudofirmus OF4 (firmicutes), Bacillus pseudofirmus; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP001880.1, Plasmid, 105029, 398511, Bacillus pseudofirmus OF4 (firmicutes), Bacillus pseudofirmus; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
U00096.3, Chromosome, 4641652, 511145, Escherichia coli str. K-12 substr. MG1655 (E. coli), Escherichia coli K-12; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CR931997.1, Chromosome, 2462499, 306537, Corynebacterium jeikeium K411 (high GC Gram+), Corynebacterium jeikeium; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AF401314.1, Plasmid, 14323, 306537, Corynebacterium jeikeium K411 (high GC Gram+), Corynebacterium jeikeium; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AF222894.1, Chromosome, 751719, 273119, Ureaplasma parvum serovar 3 str. ATCC 700970 (mycoplasmas), Ureaplasma parvum serovar 3; Ureaplasma parvum; Ureaplasma; Mycoplasmataceae; Mycoplasmatales; Mollicutes; Tenericutes; Terrabacteria group; Bacteria; cellular organisms
AE009952.1, Chromosome, 4600755, 187410, Yersinia pestis KIM10+ (enterobacteria), Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AF074611.1, Plasmid, 100990, 187410, Yersinia pestis KIM10+ (enterobacteria), Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE002160.2, Chromosome, 1072950, 243161, Chlamydia muridarum str. Nigg (agent of mouse pneumonitis), Chlamydia muridarum; Chlamydia; Chlamydia/Chlamydophila group; Chlamydiaceae; Chlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
AE002162.1, Plasmid, 7501, 243161, Chlamydia muridarum str. Nigg (agent of mouse pneumonitis), Chlamydia muridarum; Chlamydia; Chlamydia/Chlamydophila group; Chlamydiaceae; Chlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
AE003849.1, Chromosome, 2679306, 160492, Xylella fastidiosa 9a5c (g-proteobacteria), Xylella fastidiosa; Xylella; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE003850.3, Plasmid, 1286, 160492, Xylella fastidiosa 9a5c (g-proteobacteria), Xylella fastidiosa; Xylella; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE003851.1, Plasmid, 51158, 160492, Xylella fastidiosa 9a5c (g-proteobacteria), Xylella fastidiosa; Xylella; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE003852.1, Chromosome, 2961149, 243277, Vibrio cholerae O1 biovar El Tor str. N16961 (g-proteobacteria), Vibrio cholerae O1 biovar El Tor; Vibrio cholerae O1; Vibrio cholerae; Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
